# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
1.536135196685791016e+00,1.147774681448936462e-01,4.928298294544219971e-02,1.307238489389419556e-01,5.120097100734710693e-02,6.234397292137145996e-01,2.271009683609008789e+00,-6.257824599742889404e-02,-1.286349147558212280e-01,-1.980507373809814453e-02,2.464287132024765015e-01
1.518751740455627441e+00,-2.577235698699951172e-01,-3.271646797657012939e-02,-4.600545763969421387e-02,3.305900096893310547e-02,4.818412065505981445e-01,1.643198251724243164e+00,1.415514647960662842e-01,-1.133724004030227661e-01,7.405208051204681396e-02,3.022410869598388672e-01
1.505296945571899414e+00,-1.652862690389156342e-02,2.377973496913909912e-01,8.211444318294525146e-02,1.768810600042343140e-01,2.734125256538391113e-01,5.143850445747375488e-01,-7.432449609041213989e-02,1.604194194078445435e-01,-1.010513976216316223e-01,2.946271896362304688e-01
1.545377373695373535e+00,-1.390517204999923706e-01,4.542428627610206604e-02,-1.323565840721130371e-02,9.495629370212554932e-02,6.251726150512695312e-01,1.501243829727172852e+00,9.131833165884017944e-02,1.156739592552185059e-01,-4.348140209913253784e-02,2.794079482555389404e-01
1.558516621589660645e+00,3.530428558588027954e-02,-7.782866805791854858e-02,9.706468880176544189e-02,4.018938541412353516e-02,3.486532866954803467e-01,1.543213129043579102e+00,2.330909110605716705e-02,5.640742182731628418e-02,-4.596187733113765717e-03,3.482130169868469238e-01
1.550403118133544922e+00,2.079658061265945435e-01,-5.034158378839492798e-02,1.799317151308059692e-01,1.567873358726501465e-02,7.247032523155212402e-01,2.250904798507690430e+00,-6.926646828651428223e-02,-4.650607332587242126e-02,-1.928496547043323517e-02,2.932288050651550293e-01
1.483983635902404785e+00,1.145365610718727112e-01,-3.479471430182456970e-02,1.080663055181503296e-01,6.717415153980255127e-02,3.695991933345794678e-01,8.314095139503479004e-01,1.833374425768852234e-02,9.325452893972396851e-02,2.175599150359630585e-02,3.314192593097686768e-01
1.430809020996093750e+00,1.185316871851682663e-02,-3.176573663949966431e-02,9.034849703311920166e-02,5.122981965541839600e-02,3.755859434604644775e-01,2.003622770309448242e+00,5.445321090519428253e-03,4.451499506831169128e-02,-2.379384823143482208e-03,3.156885504722595215e-01
1.562863707542419434e+00,-4.422008395195007324e-01,-1.521149724721908569e-01,-1.585229188203811646e-01,3.810808062553405762e-03,4.995951056480407715e-01,1.398121356964111328e+00,3.545176088809967041e-01,2.598596811294555664e-01,-5.018306151032447815e-02,2.554423213005065918e-01
1.530059456825256348e+00,-2.810721397399902344e-01,-1.318654119968414307e-01,-3.847470879554748535e-02,2.355173230171203613e-03,6.992760300636291504e-01,1.758934974670410156e+00,1.824258640408515930e-02,1.213917625136673450e-03,1.427602861076593399e-02,3.568164408206939697e-01
1.558190941810607910e+00,-1.759228995069861412e-03,5.554627254605293274e-02,6.161449849605560303e-02,9.880302846431732178e-02,4.760823547840118408e-01,1.804919481277465820e+00,-1.711953729391098022e-01,-3.057925403118133545e-01,-5.924271047115325928e-02,3.042532801628112793e-01
1.505764365196228027e+00,-4.587327837944030762e-01,1.684492081403732300e-01,-1.613295525312423706e-01,1.312685161828994751e-01,5.443299412727355957e-01,1.869443178176879883e+00,2.232442647218704224e-01,-4.024015739560127258e-03,-1.058637276291847229e-01,2.185767590999603271e-01
1.522561669349670410e+00,-2.568240761756896973e-01,-3.019696101546287537e-02,-5.280485749244689941e-02,2.929985523223876953e-02,3.261907100677490234e-01,1.429256439208984375e+00,2.792849391698837280e-02,3.768711537122726440e-02,-1.012830063700675964e-01,2.782872021198272705e-01
1.500018358230590820e+00,-1.666969805955886841e-02,1.872291415929794312e-01,8.021648228168487549e-02,1.587391048669815063e-01,3.011304140090942383e-01,1.006357908248901367e+00,-5.783505737781524658e-02,-4.407145082950592041e-01,-3.808964416384696960e-02,3.190899789333343506e-01
1.505791187286376953e+00,-4.014760553836822510e-01,1.877377331256866455e-01,-1.062867492437362671e-01,1.505434960126876831e-01,2.294335812330245972e-01,7.453470230102539062e-01,1.611745171248912811e-02,-8.893809467554092407e-02,-5.118293687701225281e-02,3.332219421863555908e-01
1.438259005546569824e+00,-2.567836940288543701e-01,-2.016724273562431335e-02,-3.205507993698120117e-03,4.263098537921905518e-02,4.331113696098327637e-01,1.496405363082885742e+00,1.227616444230079651e-01,-6.001114845275878906e-02,-1.057355199009180069e-02,3.498586118221282959e-01
1.549678444862365723e+00,-1.644197702407836914e-01,1.893360018730163574e-01,7.963463664054870605e-03,1.158571094274520874e-01,6.889666914939880371e-01,1.896803379058837891e+00,3.963844776153564453e-01,-1.011694520711898804e-01,-6.422679871320724487e-02,2.832062244415283203e-01
1.468823790550231934e+00,-2.154278308153152466e-01,-8.983983844518661499e-02,-4.393102228641510010e-02,2.442669868469238281e-02,3.207550942897796631e-01,1.405299186706542969e+00,-8.322370797395706177e-02,1.484836786985397339e-01,-7.037429511547088623e-02,3.170010149478912354e-01
1.569011569023132324e+00,-2.673178315162658691e-01,4.311500862240791321e-02,-5.616113543510437012e-02,9.851177036762237549e-02,2.606629431247711182e-01,1.159173965454101562e+00,2.960561513900756836e-01,-5.612992867827415466e-02,-3.266289830207824707e-02,2.538322210311889648e-01
1.531138300895690918e+00,-3.257925510406494141e-01,6.417531520128250122e-02,-9.878247976303100586e-02,9.752292931079864502e-02,5.935695767402648926e-01,1.924078941345214844e+00,9.534107893705368042e-02,4.682625457644462585e-02,-1.397934257984161377e-01,1.973502486944198608e-01
1.447729706764221191e+00,-1.090553998947143555e-01,3.230043351650238037e-01,1.289956271648406982e-02,1.756210178136825562e-01,4.344687461853027344e-01,7.354539632797241211e-01,1.261815726757049561e-01,-8.322282135486602783e-02,-4.227421060204505920e-02,3.182058632373809814e-01
1.443704605102539062e+00,-2.306954562664031982e-01,2.079891711473464966e-01,-4.434606432914733887e-02,1.612856537103652954e-01,6.013041734695434570e-01,1.236978411674499512e+00,2.599948048591613770e-01,-9.081255644559860229e-02,-1.025630682706832886e-01,3.037523627281188965e-01
1.501592278480529785e+00,-3.298556804656982422e-01,-3.039883635938167572e-02,-6.524631381034851074e-02,6.587176024913787842e-02,6.328995227813720703e-01,1.930942058563232422e+00,5.593391656875610352e-01,-5.713559687137603760e-03,-6.877008080482482910e-02,2.273479998111724854e-01
1.549355864524841309e+00,-2.140891104936599731e-01,-4.224075470119714737e-03,-1.026906073093414307e-02,4.181246459484100342e-02,5.210165977478027344e-01,1.654034137725830078e+00,6.916737183928489685e-03,6.960696727037429810e-02,-1.457374393939971924e-01,2.798999249935150146e-01
1.457162499427795410e+00,5.972359329462051392e-02,1.780301481485366821e-01,1.585970669984817505e-01,1.178343445062637329e-01,4.718224406242370605e-01,1.943177461624145508e+00,1.357214874587953091e-03,5.060491710901260376e-02,-4.233426228165626526e-02,3.232549428939819336e-01
1.501904129981994629e+00,-1.226454749703407288e-01,-1.843549758195877075e-01,5.200661718845367432e-02,-4.246199131011962891e-02,6.395345926284790039e-01,1.786157131195068359e+00,8.834752440452575684e-02,-1.015866175293922424e-01,9.694859385490417480e-03,3.737947940826416016e-01
1.513109087944030762e+00,-9.475874900817871094e-02,2.367416620254516602e-01,5.012239515781402588e-02,1.803631931543350220e-01,4.228894114494323730e-01,1.609272480010986328e+00,2.362641543149948120e-01,-1.246588081121444702e-01,-8.425699919462203979e-02,3.390424549579620361e-01
1.497476339340209961e+00,-7.317285239696502686e-02,5.539622902870178223e-02,7.783080637454986572e-02,6.278608739376068115e-02,2.076762616634368896e-01,6.717714071273803711e-01,1.801069527864456177e-01,1.876335293054580688e-01,7.125744596123695374e-03,3.457854986190795898e-01
1.506684660911560059e+00,-7.232102751731872559e-01,8.483501523733139038e-02,-1.213637664914131165e-01,9.034372866153717041e-02,1.692382842302322388e-01,3.344058096408843994e-01,8.742731064558029175e-02,-1.784261129796504974e-02,-5.180142447352409363e-02,3.119892776012420654e-01
1.467577815055847168e+00,2.152605056762695312e-01,1.232814714312553406e-01,1.839344650506973267e-01,7.078351080417633057e-02,4.441350996494293213e-01,2.236458778381347656e+00,-2.320499122142791748e-01,6.991799920797348022e-02,5.114309862256050110e-02,3.319583237171173096e-01
1.479180574417114258e+00,3.779247403144836426e-02,3.422136008739471436e-01,1.044125109910964966e-01,1.864147037267684937e-01,5.289605855941772461e-01,1.725791931152343750e+00,1.649764031171798706e-01,-1.600546687841415405e-01,-1.074184924364089966e-01,2.678843438625335693e-01
1.482112884521484375e+00,-6.892863661050796509e-02,9.215060621500015259e-03,3.872978687286376953e-02,3.427343070507049561e-02,4.236479699611663818e-01,2.079219341278076172e+00,1.203300431370735168e-02,9.514738619327545166e-02,-6.755413115024566650e-02,2.953551709651947021e-01
1.519811511039733887e+00,-5.516738891601562500e-01,1.554722189903259277e-01,-6.746405363082885742e-02,1.426230520009994507e-01,5.787579417228698730e-01,1.670959234237670898e+00,3.989053890109062195e-02,-8.503835648298263550e-02,-1.349888741970062256e-01,3.259886205196380615e-01
1.517647981643676758e+00,9.964855760335922241e-02,1.809747070074081421e-01,1.757878512144088745e-01,1.143295317888259888e-01,4.575636684894561768e-01,2.126558303833007812e+00,-9.313244372606277466e-02,-1.283850222826004028e-01,-4.217291995882987976e-02,2.890456616878509521e-01
1.500271916389465332e+00,-2.645902037620544434e-01,1.847486495971679688e-01,-2.522534132003784180e-02,9.588457643985748291e-02,7.446179389953613281e-01,2.056821584701538086e+00,7.524233311414718628e-02,-1.389831304550170898e-02,-3.178207576274871826e-02,2.935608625411987305e-01
1.507206797599792480e+00,-1.215403825044631958e-01,1.105856075882911682e-01,2.015945315361022949e-02,9.727324545383453369e-02,8.003159761428833008e-01,1.977494478225708008e+00,2.933492660522460938e-01,4.056708887219429016e-02,-1.108191907405853271e-01,2.306646853685379028e-01
1.457561373710632324e+00,6.318066269159317017e-02,8.768092957325279713e-04,1.571878343820571899e-01,5.982841551303863525e-02,3.513332009315490723e-01,1.977245330810546875e+00,-2.121298164129257202e-01,-8.037135750055313110e-02,-3.106189519166946411e-02,3.503280580043792725e-01
1.508285403251647949e+00,-1.725591421127319336e-01,1.913236826658248901e-01,5.720615386962890625e-03,1.149083822965621948e-01,5.600175261497497559e-01,1.692772388458251953e+00,-1.072325836867094040e-02,-1.757455468177795410e-01,-1.772210933268070221e-02,3.761854767799377441e-01
1.510269999504089355e+00,-2.924393415451049805e-01,-2.271421998739242554e-01,-6.171217560768127441e-02,-2.985343337059020996e-02,6.718288660049438477e-01,2.018224239349365234e+00,5.258214473724365234e-01,4.763738811016082764e-02,-1.096400432288646698e-02,2.949695885181427002e-01
