# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
1.063972711563110352e+00,4.151172637939453125e-01,-3.142029345035552979e-01,1.281584382057189941e+00,7.394495010375976562e-01,-2.602202817797660828e-02,-2.060562670230865479e-01,8.601106405258178711e-01,-4.382899403572082520e-01,7.480939626693725586e-01,3.850998640060424805e+00,-4.551332294940948486e-01,-1.141871437430381775e-01
8.432781100273132324e-01,9.591286629438400269e-02,-4.758664593100547791e-02,1.600203871726989746e+00,1.797087430953979492e+00,2.252039164304733276e-01,-3.741182982921600342e-01,-8.477619290351867676e-01,-6.157810091972351074e-01,1.644969224929809570e+00,4.192042350769042969e+00,1.659756749868392944e-01,2.962462007999420166e-01
2.806680202484130859e-01,4.816386103630065918e-02,-5.888591408729553223e-01,1.955582499504089355e+00,3.349579870700836182e-01,-2.437586039304733276e-01,7.526537179946899414e-01,3.350001871585845947e-01,4.143950343132019043e-02,1.583926916122436523e+00,3.629112482070922852e+00,1.738401204347610474e-01,4.523811638355255127e-01
2.040750265121459961e+00,1.527985483407974243e-01,-1.803917735815048218e-01,6.209601163864135742e-01,1.147097587585449219e+00,4.995501041412353516e-01,5.764080882072448730e-01,-5.660445690155029297e-01,3.035530149936676025e-01,2.816218137741088867e-01,4.562580108642578125e+00,-3.182240128517150879e-01,-4.783508479595184326e-01
1.978534907102584839e-01,-4.134623706340789795e-02,2.554533183574676514e-01,1.715506166219711304e-01,1.541436672210693359e+00,1.113104671239852905e-01,-4.009105323348194361e-04,-5.711125731468200684e-01,3.274643719196319580e-01,6.567516326904296875e-01,3.939262390136718750e+00,1.196641772985458374e-01,6.425672024488449097e-02
2.369766473770141602e+00,3.242031484842300415e-02,7.329651713371276855e-02,1.871568083763122559e+00,5.182617902755737305e-01,4.029428362846374512e-01,3.279691329225897789e-03,-5.784378647804260254e-01,7.411659955978393555e-01,8.087309598922729492e-01,4.390458583831787109e+00,-6.828956305980682373e-02,5.957337021827697754e-01
1.158296227455139160e+00,2.236764878034591675e-01,1.537094563245773315e-01,2.024187296628952026e-01,1.444321870803833008e+00,4.759903848171234131e-01,5.066329836845397949e-01,-2.407981604337692261e-01,-7.355663180351257324e-02,1.076871901750564575e-01,3.439748525619506836e+00,3.965307474136352539e-01,-1.275423318147659302e-01
1.212697982788085938e+00,4.062678217887878418e-01,1.389002501964569092e-01,1.020210683345794678e-01,1.657803773880004883e+00,-6.304075568914413452e-02,-1.113028824329376221e-01,-2.375257462263107300e-01,-3.844812512397766113e-01,4.790901839733123779e-01,4.050809860229492188e+00,-1.691948920488357544e-01,8.467025309801101685e-02
2.176650986075401306e-02,1.500842273235321045e-01,2.253378368914127350e-02,6.023654937744140625e-01,4.844896197319030762e-01,-2.342022061347961426e-01,4.781814664602279663e-02,5.078560709953308105e-01,-1.549498438835144043e-01,4.794681966304779053e-01,4.704343795776367188e+00,4.828643202781677246e-01,1.818214952945709229e-01
1.148031115531921387e+00,-4.739880934357643127e-02,-1.766339242458343506e-01,2.035705894231796265e-01,2.251821279525756836e+00,-2.257084846496582031e-01,2.320542000234127045e-02,7.682490944862365723e-01,1.792345046997070312e-01,1.064439862966537476e-01,4.077455043792724609e+00,-1.100598946213722229e-01,-1.570780724287033081e-01
3.798646032810211182e-01,2.085983455181121826e-01,-2.507490515708923340e-01,1.840872168540954590e+00,1.002403497695922852e+00,2.001246213912963867e-01,1.049256548285484314e-01,6.128884553909301758e-01,-6.229519844055175781e-03,1.451703429222106934e+00,3.899494171142578125e+00,2.012521922588348389e-01,2.183323204517364502e-01
6.668226420879364014e-02,-3.921601474285125732e-01,-1.259659975767135620e-01,6.109436154365539551e-01,1.855746030807495117e+00,-3.729022443294525146e-01,8.461564034223556519e-02,3.969278037548065186e-01,4.302009940147399902e-01,1.894370079040527344e+00,3.813090085983276367e+00,1.976007670164108276e-01,-3.320441544055938721e-01
2.346228599548339844e+00,-1.539209783077239990e-01,-2.519061863422393799e-01,5.263756513595581055e-01,2.079490184783935547e+00,-1.145577803254127502e-01,-3.058438301086425781e-01,7.035000324249267578e-01,-3.392263650894165039e-01,6.785699129104614258e-01,5.315425395965576172e+00,-4.079155325889587402e-01,-5.544952303171157837e-02
2.199071884155273438e+00,-2.332849800586700439e-01,2.371416687965393066e-01,9.126003980636596680e-01,2.029500246047973633e+00,9.820146113634109497e-02,2.908032238483428955e-01,2.773948013782501221e-01,-3.495992422103881836e-01,1.778452038764953613e+00,3.802682638168334961e+00,4.354170262813568115e-01,2.649870812892913818e-01
9.381776303052902222e-02,-7.299812436103820801e-01,-2.019692063331604004e-01,1.020093679428100586e+00,6.883816719055175781e-01,-3.861401081085205078e-01,-1.251001656055450439e-01,-4.588328897953033447e-01,1.301553398370742798e-01,1.897963643074035645e+00,3.786546230316162109e+00,-3.808062672615051270e-01,-1.004448384046554565e-01
1.829435229301452637e+00,5.577039718627929688e-01,-1.796508580446243286e-01,8.718840479850769043e-01,2.238630771636962891e+00,1.285668760538101196e-01,2.554718554019927979e-01,-1.444596201181411743e-01,-6.353362202644348145e-01,6.841809153556823730e-01,3.528691291809082031e+00,-1.220541968941688538e-01,-2.005386054515838623e-01
