# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.826518058776855469e+00,2.612612843513488770e-01,5.375313758850097656e-01,-7.630944252014160156e-03,-1.659953445196151733e-01,1.763466238975524902e+00,9.324969649314880371e-01,-3.531408011913299561e-01,8.644383633509278297e-04,-5.189021825790405273e-01,-9.243724942207336426e-01
2.970918655395507812e+00,-2.597427070140838623e-01,5.103119462728500366e-02,-7.724243402481079102e-02,1.472804993391036987e-01,4.182427525520324707e-01,1.484846830368041992e+00,4.370774030685424805e-01,9.927351027727127075e-02,-3.976367413997650146e-01,-2.453547157347202301e-02
2.574307441711425781e+00,-2.073551714420318604e-01,2.112101614475250244e-01,1.754895299673080444e-01,-1.881755441427230835e-01,8.573143482208251953e-01,1.762770891189575195e+00,4.399965703487396240e-01,-3.069669604301452637e-01,-2.806169390678405762e-01,-6.924064159393310547e-01
5.568096637725830078e-01,4.310446679592132568e-01,1.089247912168502808e-01,8.450354635715484619e-02,1.867733150720596313e-01,6.204044073820114136e-02,1.794542074203491211e+00,-9.845875948667526245e-02,1.090380698442459106e-01,8.530685305595397949e-01,5.570338964462280273e-01
7.263412475585937500e-01,1.825362294912338257e-01,-5.780788511037826538e-02,-2.577304840087890625e-04,-2.193087339401245117e-02,4.050992727279663086e-01,1.891624212265014648e+00,1.021002978086471558e-01,8.478272706270217896e-02,-3.067550957202911377e-01,-4.734746366739273071e-02
3.797749876976013184e-01,-6.014180779457092285e-01,1.516534835100173950e-01,1.504066735506057739e-01,1.535529345273971558e-01,1.850517541170120239e-01,2.135685920715332031e+00,7.059920462779700756e-04,-5.024925470352172852e-01,6.108516454696655273e-01,1.006434019654989243e-02
1.110083222389221191e+00,-7.340810447931289673e-02,1.773943156003952026e-01,1.352419108152389526e-01,1.199702173471450806e-01,6.099343672394752502e-02,8.281482458114624023e-01,2.859685719013214111e-01,2.196446247398853302e-02,-7.806324362754821777e-01,5.278751254081726074e-01
2.260906696319580078e+00,-1.181239932775497437e-01,5.852596163749694824e-01,4.879924654960632324e-02,-1.217751577496528625e-01,1.443849563598632812e+00,6.979427337646484375e-01,-2.598957121372222900e-01,5.942782387137413025e-02,8.455842733383178711e-01,1.091961741447448730e+00
1.199263334274291992e+00,-8.919390849769115448e-03,1.040828227996826172e-01,-7.772576808929443359e-02,-1.511998921632766724e-01,2.497604936361312866e-01,1.627271890640258789e+00,2.023533582687377930e-01,1.196013242006301880e-01,-3.612527847290039062e-01,-3.568854629993438721e-01
2.551510810852050781e+00,1.027641892433166504e-01,-2.769717574119567871e-01,1.701134890317916870e-01,-8.022043853998184204e-02,7.453092932701110840e-02,1.650131702423095703e+00,-4.023000001907348633e-01,3.956259489059448242e-01,-1.306594014167785645e-01,-9.568376541137695312e-01
1.009840145707130432e-01,-8.221424371004104614e-02,6.201219558715820312e-01,1.468463093042373657e-01,-1.031215488910675049e-02,5.612106919288635254e-01,5.936438441276550293e-01,1.561710089445114136e-01,-2.996783852577209473e-01,-2.818702161312103271e-01,-2.424988597631454468e-01
2.489177703857421875e+00,-3.894711732864379883e-01,-3.134498298168182373e-01,-5.686913430690765381e-02,-8.845008909702301025e-02,5.138175487518310547e-01,1.654491186141967773e+00,1.974897980690002441e-01,-1.638744771480560303e-01,2.242890372872352600e-02,2.523096799850463867e-01
2.499910593032836914e+00,-4.445323944091796875e-01,-2.752397060394287109e-01,1.007058769464492798e-01,1.470907181501388550e-01,7.880475372076034546e-02,2.084348440170288086e+00,-2.663159072399139404e-01,-1.111584082245826721e-01,-2.825269401073455811e-01,-7.849708795547485352e-01
4.064261913299560547e-01,-2.433628290891647339e-01,1.533660292625427246e-01,-1.288837045431137085e-01,1.660208404064178467e-02,2.675831615924835205e-01,1.001740932464599609e+00,2.534739673137664795e-01,9.181027114391326904e-02,-4.763954281806945801e-01,9.856279194355010986e-02
2.454366683959960938e+00,8.470337092876434326e-02,4.243164509534835815e-02,-1.182518154382705688e-01,8.077897131443023682e-02,7.337514162063598633e-01,1.296747207641601562e+00,4.517912566661834717e-01,-3.224366903305053711e-01,-8.559720963239669800e-02,-6.299660354852676392e-02
1.865473575890064240e-02,-1.221674401313066483e-02,1.039258986711502075e-01,-1.485556513071060181e-01,1.691161543130874634e-01,3.564222455024719238e-01,1.562980651855468750e+00,1.052709817886352539e-01,-6.663858890533447266e-01,-4.483455121517181396e-01,1.525391936302185059e-01
1.640822887420654297e+00,-2.075420767068862915e-01,2.130687385797500610e-01,7.721115648746490479e-02,1.126847416162490845e-01,4.693236351013183594e-01,6.217589974403381348e-01,-1.374047398567199707e-01,-6.489097326993942261e-02,-9.407046437263488770e-01,2.819610536098480225e-01
2.077395439147949219e+00,-3.676056563854217529e-01,-6.302080303430557251e-02,1.590089946985244751e-01,-5.741164088249206543e-02,6.160479187965393066e-01,1.339997529983520508e+00,-3.190908432006835938e-01,5.552881211042404175e-02,-4.862899184226989746e-01,-1.253747701644897461e+00
6.389824748039245605e-01,-1.219991296529769897e-01,-7.392792962491512299e-03,1.617900878190994263e-01,-9.341412782669067383e-02,3.900585770606994629e-01,1.818931341171264648e+00,-1.454673260450363159e-01,8.830417692661285400e-02,3.780579268932342529e-01,6.169520616531372070e-01
2.390991926193237305e+00,4.090752899646759033e-01,4.419013485312461853e-02,-1.902429163455963135e-01,-1.567752361297607422e-01,1.210574865341186523e+00,7.633296251296997070e-01,-3.440193459391593933e-02,-2.143508344888687134e-01,-6.709589362144470215e-01,-3.800895810127258301e-01
